time_ps,mindist_nm
3.136000e+04,1.330451e-01
3.137000e+04,1.343727e-01
3.138000e+04,1.312098e-01
3.139000e+04,1.360074e-01
3.140000e+04,1.332442e-01
3.141000e+04,1.324425e-01
3.142000e+04,1.309580e-01
3.143000e+04,1.297768e-01
3.144000e+04,1.314725e-01
3.145000e+04,1.333340e-01
3.146000e+04,1.337683e-01
3.147000e+04,1.343204e-01
3.148000e+04,1.310076e-01
3.149000e+04,1.311679e-01
3.150000e+04,1.336337e-01
3.151000e+04,1.347630e-01
3.152000e+04,1.327630e-01
3.153000e+04,1.341266e-01
3.154000e+04,1.342051e-01
3.155000e+04,1.320189e-01
3.156000e+04,1.306368e-01
3.157000e+04,1.316205e-01
3.158000e+04,1.352628e-01
3.159000e+04,1.339924e-01
3.160000e+04,1.298998e-01
3.161000e+04,1.323782e-01
3.162000e+04,1.325593e-01
3.163000e+04,1.339850e-01
3.164000e+04,1.325783e-01
3.165000e+04,1.315332e-01
3.166000e+04,1.300386e-01
3.167000e+04,1.336001e-01
3.168000e+04,1.314269e-01
3.169000e+04,1.314952e-01
3.170000e+04,1.334654e-01
3.171000e+04,1.346588e-01
3.172000e+04,1.317156e-01
3.173000e+04,1.312327e-01
3.174000e+04,1.295841e-01
3.175000e+04,1.306826e-01
3.176000e+04,1.318863e-01
3.177000e+04,1.288487e-01
3.178000e+04,1.312593e-01
3.179000e+04,1.289185e-01
3.180000e+04,1.338281e-01
3.181000e+04,1.315219e-01
3.182000e+04,1.286663e-01
3.183000e+04,1.309579e-01
3.184000e+04,1.330639e-01
3.185000e+04,1.337907e-01
3.186000e+04,1.306789e-01
3.187000e+04,1.303917e-01
3.188000e+04,1.301191e-01
3.189000e+04,1.322650e-01
3.190000e+04,1.326123e-01
3.191000e+04,1.335738e-01
3.192000e+04,1.342311e-01
3.193000e+04,1.315901e-01
3.194000e+04,1.310497e-01
3.195000e+04,1.284406e-01
3.196000e+04,1.337572e-01
3.197000e+04,1.346327e-01
3.198000e+04,1.303955e-01
3.199000e+04,1.331952e-01
3.200000e+04,1.317801e-01
3.201000e+04,1.336488e-01
3.202000e+04,1.307327e-01
3.203000e+04,1.308014e-01
3.204000e+04,1.295724e-01
3.205000e+04,1.319620e-01
3.206000e+04,1.314838e-01
3.207000e+04,1.264397e-01
3.208000e+04,1.362424e-01
3.209000e+04,1.369417e-01
3.210000e+04,1.298037e-01
3.211000e+04,1.316548e-01
3.212000e+04,1.298999e-01
3.213000e+04,1.349406e-01
3.214000e+04,1.327591e-01
3.215000e+04,1.316702e-01
3.216000e+04,1.273146e-01
